player_name,team,position,born,gp,g,a,p,shots,toi_seconds
Nic Dowd,WSH,F,1990,20,1,2,3,20,840
Sam Lafferty,TOT,F,1995,20,1,2,3,15,572
Sean Walker,TOT,D,1994,25,1,2,3,41,1072
Torey Krug,STL,D,1991,3,0,3,3,7,878
Ondrej Kase,TOR,F,1995,7,0,3,3,10,622
Noah Dobson,NYI,D,2000,11,0,3,3,18,1318
Bobby McMann,TOR,F,1996,13,0,3,3,18,755
Joshua Mahura,FLA,D,1998,21,0,3,3,22,783
Dylan Samberg,WPG,D,1999,23,0,3,3,23,1225
Vincent Desharnais,EDM,D,1996,28,0,3,3,13,940
Igor Shesterkin,NYR,G,1995,43,0,3,3,,
Christian Dvorak,MTL,F,1996,5,2,0,2,7,982
Nicholas Suzuki,MTL,F,1999,5,2,0,2,14,1336
Juraj Slafkovsky,MTL,F,2004,5,2,0,2,15,1192
Brandt Clarke,LAK,D,2003,6,2,0,2,6,767
Brett Ritchie,CGY,F,1993,7,2,0,2,10,520
David Gustafsson,WPG,F,2000,11,2,0,2,7,471
Tyler Bozak,STL,F,1986,12,2,0,2,10,580
Curtis Lazar,TOT,F,1995,13,2,0,2,13,635
Noel Acciari,TOT,F,1991,20,2,0,2,10,761
Ryan Lomberg,FLA,F,1994,26,2,0,2,33,590
Hendrix Lapierre,WSH,F,2002,4,1,1,2,7,791
Simon Nemec,NJD,D,2004,4,1,1,2,6,1239
Jeff Skinner,EDM,F,1992,5,1,1,2,9,733
Jordan Greenway,MIN,F,1997,6,1,1,2,5,804
Drake Batherson,OTT,F,1998,6,1,1,2,9,1048
Dylan Cozens,OTT,F,2001,6,1,1,2,13,995
Shane Pinto,OTT,F,2000,6,1,1,2,7,1192
Brock McGinn,PIT,F,1994,7,1,1,2,16,1035
MacKenzie MacEachern,CAR,F,1994,8,1,1,2,8,712
Michael Eyssimont,TBL,F,1996,8,1,1,2,16,710
Jakub Lauko,BOS,F,2000,8,1,1,2,8,496
Jaret Anderson-Dolan,TOT,F,1999,9,1,1,2,9,477
Pavel Dorofeyev,VGK,F,2000,9,1,1,2,27,977
Nick Robertson,TOR,F,2001,9,1,1,2,13,591
Patric Hörnqvist,FLA,F,1987,10,1,1,2,22,648
Mike Reilly,TOT,D,1993,10,1,1,2,19,1041
Connor Clifton,BOS,D,1995,10,1,1,2,15,982
Phil Di Giuseppe,VAN,F,1993,11,1,1,2,8,622
Daniel Sprong,TOT,F,1997,11,1,1,2,20,527
Nils Höglander,VAN,F,2000,11,1,1,2,8,600
John Beecher,BOS,F,2001,12,1,1,2,13,643
Filip Hronek,VAN,D,1997,13,1,1,2,13,1262
Darren Raddysh,TBL,D,1996,13,1,1,2,22,1194
Jordan Spence,LAK,D,2001,13,1,1,2,10,784
Blake Lizotte,LAK,F,1997,15,1,1,2,18,715
Will Cuylle,NYR,F,2002,16,1,1,2,18,677
Derek Forbort,BOS,D,1992,17,1,1,2,12,1023
Nathan Bastian,NJD,F,1997,17,1,1,2,19,681
Simon Benoit,TOR,D,1998,20,1,1,2,18,1075
Alex Petrovic,DAL,D,1992,24,1,1,2,15,752
Kevin Stenlund,TOT,F,1996,29,1,1,2,22,701
Phil Kessel,VGK,F,1987,4,0,2,2,5,707
Ryan Johansen,NSH,F,1992,4,0,2,2,2,1014
Luke Hughes,NJD,D,2003,4,0,2,2,6,1201
Joel Armia,MTL,F,1993,5,0,2,2,4,743
Brendan Gallagher,MTL,F,1992,5,0,2,2,13,937
Ivan Demidov,MTL,F,2005,5,0,2,2,2,868
Brian Boyle,PIT,F,1984,6,0,2,2,10,615
Johan Larsson,WSH,F,1992,6,0,2,2,4,622
Tyler Kleven,OTT,D,2002,6,0,2,2,4,946
Dustin Brown,LAK,F,1984,7,0,2,2,19,758
Marcus Pettersson,PIT,D,1996,7,0,2,2,6,1276
Haydn Fleury,TOT,D,1996,9,0,2,2,4,918
Parker Wotherspoon,BOS,D,1997,10,0,2,2,9,1053
Alexander Edler,LAK,D,1986,11,0,2,2,11,954
Tanner Jeannot,TOT,F,1997,11,0,2,2,11,782
Oscar Bäck,DAL,F,2000,11,0,2,2,2,662
Scott Laughton,TOR,F,1994,13,0,2,2,6,831
